"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Central Warehousing Corporation","CENTRAL WAREHOUSE, BUDHLADA","6772206","Phooluwala Dogra Road,Budhlada,","Mansa","PUNJAB","10000","20-Aug-2023","19-Aug-2028","9357252803","Inactive","EFFECTIVE CONTROL EXPIRED"
"Indian Sucrose Limited","INDIAN SUCROSE LIMITED","3671641","G. T ROAD MUKERIAN DISTRICT HOSHIARPUR, MUKERIAN , HOSHIARPUR PUNJAB","Hoshiarpur","PUNJAB","97639","19-Mar-2021","18-Mar-2026","9115110505","Inactive",""
"CARNIVAL WSP PVT LTD","Carnival WSP Pvt. Ltd. C/o Angoori Devi","7007917","FAZILKA ROAD OPP MILITARY CANTT., ABOHAR","Firozpur","PUNJAB","1680","06-Jan-2025","05-Jan-2030","7821978219","Inactive","EFFECTIVE CONTROL EXPIRED"
"Shveta Bedi","SSB warehousing complex","7118706","Adda Bhawanlpur village Gughbheat,","Kapurthala","PUNJAB","38220","24-Jul-2025","23-Jul-2030","9814190001","Active",""
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","7000441","Bareh to Piplian Road, V.P.O.- Bareh ,, 1 KM on Boha to Mansa Road","Mansa","PUNJAB","104000","03-Dec-2024","02-Dec-2029","9958097729","Active",""
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","7000086","Dagru road, Village:Salina, Tehsil & District Moga","Moga","PUNJAB","80500","03-Dec-2024","02-Dec-2029","9466775152","Active",""
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","6994230","Abohar Road Near Rahurian wali Muktsar 152026,","Muktsar","PUNJAB","144510","13-Nov-2024","12-Nov-2029","9975809772","Active",""
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","6958953","Malout to Maharaja Ranjit Singh College Road, 1 Km from Abohar Malout Road, Near Railway Crossing, Village Malout, Tehsil Malout Distt.Muktsar, Malout to Maharaja Ranjit Singh College Road, 1 Km from Abohar Malout Road, Near Railway Crossing, Village Malout, Tehsil Malout Distt.Muktsar","Muktsar","PUNJAB","197500","14-Jul-2024","13-Jul-2029","9958097780","Active",""
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","6984066","Village: Misarkhana, Near Gurudwara Tittersar, Maur Mandi","Bathinda","PUNJAB","37500","07-Oct-2024","06-Oct-2029","9958097729","Active",""
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","6953822","Village Kala Tibba, Behind Polytechnic College, Tehsil Abohar,","Firozpur","PUNJAB","92000","02-Jul-2024","01-Jul-2029","9466775152","Active",""
