"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"AJIT MOHAPATRA","PEG UV No-5 Burja","6797047","Burja, Umerkote","Nabarangapur","ODISHA","5000","30-Oct-2023","29-Jul-2028","9938753281","Active",""
"AMIT AGRAWAL","AMIT AGRAWAL PEG HIMGIR","6842405","MAIN ROAD, HIMGIR","Sundargarh","ODISHA","3132","20-Jan-2024","19-Apr-2028","9437050285","Active",""
"ANCESTRY FOOD FOUNDATION","ANCESTRY FOOD FOUNDATION","6711097","SABULIA, RAMBHA","Ganjam","ODISHA","1500","21-Apr-2023","20-Apr-2028","9437966869","Active",""
"ANCESTRY FOOD FOUNDATION","ANCESTRY FOOD FOUNDATION","7056245","SABULIA, MAIN ROAD RAMBHA","Ganjam","ODISHA","1000","27-Mar-2025","26-Mar-2030","7008726348","Active",""
"Central Warehousing Corporation","Central Warehouse, Marshaghai","4651640","AT-MASAKANI, PO- JADUPUR,","Kendrapara","ODISHA","10000","16-Apr-2021","15-Apr-2026","9437148150","Active",""
"Central Warehousing Corporation","Central Warehouse, Jeypore","6533970","Near RMC Compound, Telliguda","Koraput","ODISHA","17800","23-Sep-2021","22-Sep-2026","9775206865","Active",""
"Central Warehousing Corporation","Central Warehouse, Berhampur","5731648","CW- BERHAMPUR ,GOODSHED ROAD, LANJIPALLI, BERHAMPUR,","Ganjam","ODISHA","45000","23-Jun-2021","22-Jun-2026","7007305040","Active",""
"Central Warehousing Corporation","Central Warehouse Rayagada","6968044","Central Warehouse Rayagada, Thumbiguda Chowk","Rayagada","ODISHA","11400","16-Aug-2024","15-Aug-2029","8763325869","Active",""
"Central Warehousing Corporation","Central Warehouse Cuttack","4751642","NAYABAZAR, CUTTACK,","Cuttack","ODISHA","16400","19-Apr-2021","18-Apr-2026","9437083476","Active",""
"Central Warehousing Corporation","Central Warehouse, Aska","4731655","Kornoli,","Ganjam","ODISHA","10000","19-Apr-2021","18-Apr-2026","9437204397","Active",""
"Central Warehousing Corporation","Central Warehouse, Balasore-II","4731666","NH-5, Banparia, P.O. Kuruda","Baleshwar","ODISHA","10000","19-Apr-2021","18-Apr-2026","9776969252","Active",""
"Central Warehousing Corporation","Central Warehouse, Nawrangpur","4231648","Kosagumda road, near Polytechnic Engg. Collage, PO-Agnipur, Kosagumda road, near Polytechnic Engg. Collage, PO-Agnipur","Nabarangapur","ODISHA","10000","01-Apr-2021","31-Mar-2026","7077622625","Active",""
"Central Warehousing Corporation","Central Warehouse, Jajpur Road","5751640","Dhawalgiri,","Jajapur","ODISHA","9000","23-Jun-2021","22-Jun-2026","8617226036","Active",""
"Central Warehousing Corporation","Central Warehouse Kendupalli-II","4611648","Kendupalli Vilage Road,","Bargarh","ODISHA","22500","15-Apr-2021","14-Apr-2026","9437219503","Active",""
"Central Warehousing Corporation","Central Warehouse, Baljitpada","4811654","Chunida Road, Via Annapala, P.O Balabhadrapur","Bhadrak","ODISHA","10000","22-Apr-2021","21-Apr-2026","9437130274","Active",""
"Central Warehousing Corporation","Central Warehouse, Kalamati","4131676","Boudiapada, Near OMFED Training Centre Via CA Chiplima, Goshala","Sambalpur","ODISHA","10000","31-Mar-2021","30-Mar-2026","9437457083","Active",""
"Central Warehousing Corporation","Central Warehouse, Bolangir","4111653","Madhiapali,","Balangir","ODISHA","30000","31-Mar-2021","30-Mar-2026","9958145191","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE, KOKSARA","6960488","OPPOSITE OF FIRESTATION, KOKSARA","Kalahandi","ODISHA","13846","21-Jul-2024","20-Jul-2029","8984295649","Active",""
"Central Warehousing Corporation","Central Wareouse, Junagarh","4811642","KURUGUDA ROA, JUNAGARH","Kalahandi","ODISHA","30300","22-Apr-2021","21-Apr-2026","9090456747","Active",""
"Central Warehousing Corporation","Central Warehouse, Balasore-I","4211640","Bampada, Near Industrial Estate Police Station","Baleshwar","ODISHA","11000","31-Mar-2021","30-Mar-2026","9776969252","Active",""
"Central Warehousing Corporation","Central Warehouse, Sonepur","4791646","At-Babupali, PO-Kalapathar","Subarnapur","ODISHA","10000","20-Apr-2021","19-Apr-2026","9556239957","Active",""
"Central Warehousing Corporation","Central Warehouse, Jatni","4351658","Sandhapur, near Centurion university, Jatni","Khordha","ODISHA","15000","07-Apr-2021","06-Apr-2026","9937267876","Active",""
"Central Warehousing Corporation","Central Warehouse, Bargarh","4611658","NEAR GORU HAT, BEHIND RAM MANDIR","Bargarh","ODISHA","10100","15-Apr-2021","14-Apr-2026","9583072800","Active",""
"Central Warehousing Corporation","Central Warehouse, Kendupalli-I","4871640","Bargarh,","Bargarh","ODISHA","20000","26-Apr-2021","25-Apr-2026","9635340555","Active",""
"Central Warehousing Corporation","Central Warehouse, Choudwar","4551674","Kajalakana,","Cuttack","ODISHA","14650","12-Apr-2021","11-Apr-2026","9861148351","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE KALAMATI","7066327","GOSHALA, NEAR IIM SAMBALPUR","Sambalpur","ODISHA","11000","07-Apr-2025","06-Oct-2026","9337895985","Active",""
"Chandrika Khatua","PEG Sulia","6813968","At: Sulia, Po: Rundimahul","Baudh","ODISHA","2500","12-Dec-2023","11-Jun-2028","9937927573","Active",""
"HAKIMA BANO","SPEG KHAIRAPUT","7112493","AT-AUNLIPUT,PO-KADAMGUDA,KHAIRAPUT,","Malkangiri","ODISHA","2500","14-Jul-2025","13-Jul-2030","9439898918","Active",""
"Kabi sahu","PEG TEBDAMUNDA","6957609","At- Tebdamunda Po- Badangomunda, Tusura,","Balangir","ODISHA","2500","12-Jul-2024","11-Jul-2029","8763152360","Active",""
"KABITA RATHA","STATE PEG GODOWN, JAGANATHPRASAD","6992077","AT- BUDURUNGU, JAGANATHPRASAD","Ganjam","ODISHA","2500","07-Nov-2024","06-Nov-2029","9938333100","Active",""
"KADAMBARI RATH","State PEG Godown","6983613","Rangeilunda,","Ganjam","ODISHA","2500","04-Oct-2024","03-Oct-2029","9668422003","Active",""
"KADAMBARI RATHA","CENTRAL PEG GODOWN, SUNABEDA","6947618","AT- DUMURIPUT, KORAPUT","Koraput","ODISHA","5000","20-Jun-2024","19-Jun-2029","9113995833","Active",""
"Kalinga Godowns Pvt Ltd","Kalinga godowns Pvt Ltd","6806319","Gopapur,","Debagarh","ODISHA","2500","22-Nov-2023","21-May-2028","9437058666","Active",""
"KBS TRADE VENTURE PRIVATE LIMITED","STATE PEG GODOWN, KOTPAD","7016827","AT/PO-KOTPAD,","Koraput","ODISHA","2500","06-Feb-2025","05-Feb-2030","9113995833","Active",""
"Konark Godowns Pvt Ltd","KONARK GODOWNS PVT LTD","6852750","BARHAMUSHA,","Sundargarh","ODISHA","2500","06-Feb-2024","05-May-2028","9437058666","Active",""
"Lalit Somani","Devki Warehouse","7126717","MV 68, kalimela","Malkangiri","ODISHA","1700","08-Aug-2025","07-Aug-2030","9437094409","Active",""
"M/S. RANISATI TRANSPORT. CO. PVT. LTD.","PEG, JIAKATA","7048234","JIAKATA, PURUNAKATAK","Baudh","ODISHA","5000","24-Mar-2025","23-Mar-2030","7008844276","Active",""
"Mahendra Panda","PEG BAXIPALLI","7033657","Baxipalli,","Ganjam","ODISHA","2500","06-Mar-2025","05-Mar-2030","9438850535","Active",""
"Manoj Rath","State PEG Godown","6977227","Koraput,","Koraput","ODISHA","2500","17-Sep-2024","16-Sep-2029","8658283073","Active",""
"National Commodities Management Services Limited","NCML Own Warehouse, Jeypore","6952659","Godown No 1 And 2, Khatian No.144/448,Kaliagaon,Jeypore, Odisha.Pin-764001,","Koraput","ODISHA","12600","28-Jun-2024","27-Sep-2028","8917367153","Active",""
"Odisha State Warehousing Corporation","OSWC NABARANGPUR","6711543","OSWC NABARANGPUR, At/po - Nabarangpur,,","Nabarangapur","ODISHA","4500","24-Apr-2023","23-Apr-2028","9937345284","Active",""
"Odisha State Warehousing Corporation","OSWC DHENKANAL","6606602","OSWC DHENKANAL, At - Baladiabandha, Po - Govindpur, Dist - Dhenkanal,,","Dhenkanal","ODISHA","5000","26-Jul-2022","25-Jul-2027","9439703771","Active",""
"Odisha State Warehousing Corporation","OSWC SONEPUR","6607683","OSWC Sonepur, At - Jhinki, near krushi bigyan kendra, Dist - Sonepur, Pin -,","Subarnapur","ODISHA","10000","27-Jul-2022","26-Jul-2027","9437923116","Active",""
"Odisha State Warehousing Corporation","OSWC ANGUL","6647101","OSWC Angul, At - Hakimpara, Po - Angul, Pin - 766014,","Anugul","ODISHA","3200","28-Oct-2022","27-Oct-2027","9438067588","Active",""
